iter	Passed	Remaining
0	6	6858
1	17	8750
2	27	9187
3	37	9450
4	48	9566
5	58	9722
6	68	9762
7	79	9823
8	89	9830
9	99	9812
10	108	9790
11	119	9799
12	129	9824
13	139	9801
14	149	9790
15	159	9821
16	169	9808
17	179	9795
18	188	9754
19	198	9724
20	208	9699
21	217	9679
22	243	10329
23	255	10377
24	266	10378
25	278	10421
26	288	10381
27	297	10339
28	307	10291
29	317	10253
30	326	10213
31	336	10174
32	347	10176
33	357	10153
34	367	10141
35	377	10105
36	388	10124
37	399	10118
38	409	10100
39	419	10076
40	430	10059
41	439	10032
42	449	10001
43	458	9971
44	468	9944
45	478	9916
46	487	9894
47	497	9874
48	507	9855
49	517	9833
50	527	9809
51	537	9796
52	547	9776
53	557	9761
54	567	9744
55	577	9729
56	587	9719
57	597	9699
58	607	9692
59	617	9676
60	627	9662
61	637	9647
62	647	9632
63	657	9614
64	667	9602
65	677	9586
66	687	9571
67	697	9557
68	707	9545
69	718	9547
70	729	9540
71	740	9549
72	751	9540
73	761	9533
74	771	9517
75	780	9494
76	790	9477
77	800	9462
78	811	9457
79	821	9449
80	831	9435
81	839	9401
82	850	9392
83	858	9360
84	868	9348
85	877	9330
86	887	9316
87	896	9288
88	904	9257
89	913	9232
90	921	9204
91	929	9178
92	938	9150
93	946	9122
94	954	9095
95	963	9073
96	972	9048
97	980	9024
98	989	9003
99	997	8978
100	1006	8961
101	1014	8933
102	1022	8906
103	1031	8885
104	1039	8857
105	1047	8832
106	1055	8806
107	1063	8781
108	1071	8756
109	1079	8731
110	1087	8706
111	1095	8684
112	1103	8661
113	1111	8638
114	1119	8613
115	1127	8592
116	1136	8574
117	1144	8555
118	1153	8537
119	1161	8518
120	1170	8502
121	1179	8485
122	1187	8466
123	1196	8451
124	1204	8432
125	1214	8422
126	1222	8404
127	1231	8390
128	1240	8374
129	1248	8358
130	1257	8343
131	1266	8327
132	1275	8311
133	1283	8293
134	1291	8277
135	1300	8261
136	1308	8243
137	1317	8226
138	1326	8217
139	1336	8206
140	1345	8197
141	1354	8182
142	1364	8174
143	1373	8164
144	1383	8156
145	1392	8146
146	1402	8136
147	1412	8130
148	1420	8113
149	1430	8105
150	1438	8087
151	1446	8070
152	1454	8054
153	1463	8040
154	1472	8027
155	1498	8108
156	1509	8102
157	1519	8096
158	1529	8087
159	1537	8071
160	1546	8057
161	1554	8041
162	1563	8027
